Nome;Link;Avaliacao;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta
Smartphone Xiaomi Redmi Note 13 8GB+256GB ( Preto ) 4G;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-8gb-256gb-preto-4g/p/ccf235120b/te/xiao/;4.9 (13);R$ 1.459,99 em 10x de R$ 146,00 sem juros;1459,99;1313,99;Magazine Luiza;14/11/2024 20:14:36
"Smartphone OPPO A58 256GB Preto 4G 8GB + 8GB (RAM+) 6,72"" Câm. 50MP + Selfie 8MP Dual Chip";https://www.magazineluiza.com.br/smartphone-oppo-a58-256gb-preto-4g-8gb-8gb-ram-672-cam-50mp-selfie-8mp-dual-chip/p/238280100/te/op58/;4.7 (34);R$ 1.399,00 em 10x de R$ 139,90 sem juros;1399,0;1259,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone OPPO Reno11 F 256GB Lilás 5G 8GB RAM 6,7"" Câm. Tripla + Selfie 32MP Dual Chip";https://www.magazineluiza.com.br/smartphone-oppo-reno11-f-256gb-lilas-5g-8gb-ram-67-cam-tripla-selfie-32mp-dual-chip/p/238499000/te/oppo/;3.8 (5);R$ 2.699,00 em 10x de R$ 269,90 sem juros;2699,0;2429,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi A3 4GB Ram 128GB Preto;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-a3-4gb-ram-128gb-preto/p/kdhb2e3h20/te/xiao/;3.3 (3);R$ 839,90 em 6x de R$ 139,98 sem juros;839,9;839,9;Magazine Luiza;14/11/2024 20:14:36
Smartphone Celular Xiaomi Redmi 13c 8gb 256gb;https://www.magazineluiza.com.br/smartphone-celular-xiaomi-redmi-13c-8gb-256gb/p/fdj2e35k82/te/xiao/;5.0 (3);R$ 1.205,98 em 10x de R$ 120,60 sem juros;1205,98;1205,98;Magazine Luiza;14/11/2024 20:14:36
Smartphone Navcity NP-752 Branco - Android 11 e Dual Chip;https://www.magazineluiza.com.br/smartphone-navcity-np-752-branco-android-11-e-dual-chip/p/ghdhj06jj3/te/tcsp/;4.0 (11);R$ 229,00 em 7x de R$ 32,71 sem juros;229,0;206,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Xiaomi Redmi A3 128GB 4GB RAM Dual SIM Tela 6.71"" - Preto";https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-a3-128gb-4gb-ram-dual-sim-tela-6-71-preto/p/db48gheg39/te/xiao/;4.3 (7);R$ 869,99 em 7x de R$ 124,28 sem juros;869,99;782,99;Magazine Luiza;14/11/2024 20:14:36
Smartphone Not 13 Pro 256Gb 8Gb Ram Verde;https://www.magazineluiza.com.br/smartphone-not-13-pro-256gb-8gb-ram-verde-13pro/p/fcfa742k2b/te/tcsp/;4.7 (17);R$ 2.002,46 em 10x de R$ 200,25 sem juros;2002,46;1702,09;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi Note 13 256GB - 8GB Ram - (Mint Green) Verde;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-256gb-8gb-ram-mint-green-verde/p/jhb4kfbab5/te/xiao/;4.9 (8);R$ 1.449,99 em 10x de R$ 145,00 sem juros;1449,99;1304,99;Magazine Luiza;14/11/2024 20:14:36
Smartphone do idoso tecnologia avançada e facilidade de uso;https://www.magazineluiza.com.br/smartphone-do-idoso-tecnologia-avancada-e-facilidade-de-uso-positivo/p/khf70d2d08/te/spst/;3.8 (10);R$ 397,00 em 12x de R$ 33,08 sem juros;397,0;397,0;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-8gb-ram-256gb/p/jag18bh9bf/te/xiao/;5.0 (2);R$ 1.459,90 em 10x de R$ 145,99 sem juros;1459,9;1343,11;Magazine Luiza;14/11/2024 20:14:36
"Smartphone OPPO A79 256GB Preto 5G 8GB + 8GB (RAM+) 6,72"" Câm. 50MP + Selfie 8MP Dual Chip";https://www.magazineluiza.com.br/smartphone-oppo-a79-256gb-preto-5g-8gb-8gb-ram-672-cam-50mp-selfie-8mp-dual-chip/p/238280200/te/op79/;4.6 (14);R$ 1.999,00 em 10x de R$ 199,90 sem juros;1999,0;1799,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone OPPO Reno11 F 256GB Verde 5G 8GB RAM 6,7"" Câm. Tripla + Selfie 32MP Dual Chip";https://www.magazineluiza.com.br/smartphone-oppo-reno11-f-256gb-verde-5g-8gb-ram-67-cam-tripla-selfie-32mp-dual-chip/p/238499100/te/oppo/;3.8 (5);R$ 2.699,00 em 10x de R$ 269,90 sem juros;2699,0;2429,1;Magazine Luiza;14/11/2024 20:14:36
